Gender;Age;Smoker_Status;Name;Company;TotalScore;WholeLifeScore;TermsScore;PremiumTerm_Years;AnnualPremium;Number_of_Covered_Major_Illnesses;Number_of_Covered_Early_Illnesses;Maximum_Payout;Waiting_Period;Issue_Age
Male;25;Smoker;Crisis USupporter Pro;FWD | 富衛;9.2 / 10;9.3 / 10;8.8 / 10;25;USD 4,133;62;65;1152.0%;90 Days;Age 0 to Age 50
Male;25;Smoker;Crisis USupporter;FWD | 富衛;9.1 / 10;9.2 / 10;8.8 / 10;25;USD 3,786;62;65;1121.0%;90 Days;Age 0 to Age 50
Male;25;Smoker;PrimeHealth Pro (Signature);YF Life | 萬通保險;9.3 / 10;9.2 / 10;9.6 / 10;25;USD 3,659;68;50;740.0%;60 Days;Age 0 to Age 55
Male;25;Smoker;ManuPrimo Care;Manulife | 宏利;9.1 / 10;8.8 / 10;9.6 / 10;25;USD 4,106;60;44;900.0%;90 Days;Age 0 to Age 60
Male;25;Smoker;TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.1 / 10;9.1 / 10;9 / 10;25;USD 3,833;63;75;1000.0%;60 Days;Age 0 to Age 60
Male;25;Smoker;Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.8 / 10;9.2 / 10;8.3 / 10;25;USD 4,163;89;76;500.0%;60 Days;Age 0 to Age 50
Male;25;Smoker;Health Critical Illness Extended Care III;Prudential | 保誠保險;9.0 / 10;8.8 / 10;9.2 / 10;25;USD 4,091;56;61;860.0%;90 Days;Age 0 to Age 49
Male;25;Smoker;TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.9 / 10;8.8 / 10;9.1 / 10;25;USD 4,974;93;101;800.0%;90 Days;Age 0 to Age 50
Male;25;Smoker;ManuBright Care 2 Plus;Manulife | 宏利;8.8 / 10;8.8 / 10;8.6 / 10;25;USD 3,986;60;44;680.0%;90 Days;Age 0 to Age 60
Male;25;Smoker;SunWell Advanced Care;Sun Life | Sun Life 永明;8.6 / 10;8.7 / 10;7.8 / 10;25;USD 3,290;71;117;500.0%;60 Days;Age 0 to Age 50
Male;25;Smoker;FamCare 198;CTF Life | 周大福人壽;8.7 / 10;9.4 / 10;7.6 / 10;25;USD 4,227;71;127;700.0%;60 Days;Age 0 to Age 50
Male;25;Smoker;On Your SIde Plan;AIA | 友邦香港;8.7 / 10;9.1 / 10;8.2 / 10;25;USD 3,521;58;44;900.0%;90 Days;Age 0 to Age 55
Male;25;Smoker;Manulife Bright Care PRO;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 3,407;60;63;500.0%;90 Days;Age 0 to Age 60
Male;25;Smoker;HealthCare 168 Plus;CTF Life | 周大福人壽;8.6 / 10;8.8 / 10;8.3 / 10;25;USD 3,952;69;83;500.0%;60 Days;Age 0 to Age 50
Male;25;Smoker;SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.6 / 10;9 / 10;8 / 10;25;USD 4,436;63;62;1100.0%;90 Days;Age 0 to Age 50
Male;25;Smoker;ManuLove Care;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 5,042;60;30;700.0%;90 Days;Age 0 to Age 60
Male;25;Smoker;PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 4,134;56;71;900.0%;90 Days;Age 0 to Age 49
Male;25;Smoker;SunHealth LovePromise;Sun Life | Sun Life 永明;8.5 / 10;8.9 / 10;7.9 / 10;25;USD 3,860;64;62;950.0%;90 Days;Age 0 to Age 50
Male;25;Smoker;Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.4 / 10;8.6 / 10;8.1 / 10;25;USD 3,459;65;56;500.0%;60 Days;Age 0 to Age 55
Male;25;Smoker;Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;8.4 / 10;8.8 / 10;7.9 / 10;25;USD 3,540;88;88;420.0%;90 Days;Age 0 to Age 50
Male;25;Smoker;ManuBright Care 2;Manulife | 宏利;8.2 / 10;8.8 / 10;7.2 / 10;25;USD 3,662;60;44;500.0%;90 Days;Age 0 to Age 60
Male;25;Smoker;SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.2 / 10;9 / 10;7 / 10;25;USD 3,641;63;62;900.0%;90 Days;Age 0 to Age 50
Male;25;Smoker;AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.0 / 10;8.4 / 10;7.4 / 10;25;USD 3,763;62;54;900.0%;60 Days;Age 0 to Age 50
Male;25;Smoker;Smart Elite Ultra;AIA | 友邦香港;7.8 / 10;8.3 / 10;7 / 10;25;USD 4,817;58;44;900.0%;90 Days;Age 0 to Age 55
Male;25;Smoker;AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.6 / 10;8.4 / 10;6.4 / 10;25;USD 3,656;62;54;500.0%;60 Days;Age 0 to Age 50
Male;25;Smoker;Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3 / 10;8.3 / 10;5.8 / 10;20;USD 4,760;62;45;500.0%;60 Days;Age 0 to Age 45
Male;25;Smoker;Multi Care Pro 2;AIA | 友邦香港;7.4 / 10;7.8 / 10;6.9 / 10;25;USD 3,624;53;3;500.0%;90 Days;Age 0 to Age 55
Male;25;Smoker;BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;7.3 / 10;7.9 / 10;6.4 / 10;20;USD 4,446;55;39;600.0%;90 Days;Age 0 to Age 55
Male;25;Smoker;Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;7.0 / 10;8.4 / 10;4.9 / 10;20;USD 3,755;55;39;420.0%;90 Days;Age 0 to Age 55
Male;30;Smoker;Crisis OneMaster;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 6,534;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;30;Smoker;Crisis OneMaster Pro;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 7,035;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;30;Smoker;TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.6 / 10;9.4 / 10;10 / 10;25;USD 7,708;93;101;900.0%;90 Days;Age 0 to Age 50
Male;30;Smoker;SunWell Supreme Care;Sun Life | Sun Life 永明;9.4 / 10;9.5 / 10;7.8 / 10;25;USD 4,815;71;117;700.0%;60 Days;Age 0 to Age 50
Male;30;Smoker;TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.5 / 10;9.2 / 10;10 / 10;25;USD 5,757;63;75;1300.0%;60 Days;Age 0 to Age 60
Male;30;Smoker;LionGuardian Beyond;Generali | 忠意保險;9.4 / 10;9.3 / 10;9.5 / 10;25;USD 4,404;69;69;Not specified;60 Days;Age 0 to Age 55
Male;30;Smoker;LionAlong;Generali | 忠意保險;9.3 / 10;9.4 / 10;9.3 / 10;25;USD 4,628;69;69;720.0%;60 Days;Age 0 to Age 55
Male;30;Smoker;Crisis USupporter Pro;FWD | 富衛;9.2 / 10;9.3 / 10;8.8 / 10;25;USD 4,853;62;65;1152.0%;90 Days;Age 0 to Age 55
Male;30;Smoker;Crisis USupporter;FWD | 富衛;9.1 / 10;9.2 / 10;8.8 / 10;25;USD 4,455;62;65;1121.0%;90 Days;Age 0 to Age 55
Male;30;Smoker;PrimeHealth Pro (Signature);YF Life | 萬通保險;9.3 / 10;9.2 / 10;9.6 / 10;25;USD 4,302;68;50;740.0%;60 Days;Age 0 to Age 55
Male;30;Smoker;ManuPrimo Care;Manulife | 宏利;9.1 / 10;8.8 / 10;9.6 / 10;25;USD 4,901;60;44;900.0%;90 Days;Age 0 to Age 60
Male;30;Smoker;TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.1 / 10;9.1 / 10;9 / 10;25;USD 4,503;63;75;1000.0%;60 Days;Age 0 to Age 60
Male;30;Smoker;Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.8 / 10;9.2 / 10;8.3 / 10;25;USD 4,664;89;76;500.0%;60 Days;Age 0 to Age 50
Male;30;Smoker;TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.9 / 10;8.8 / 10;9.1 / 10;25;USD 5,814;93;101;800.0%;90 Days;Age 0 to Age 50
Male;30;Smoker;ManuBright Care 2 Plus;Manulife | 宏利;8.8 / 10;8.8 / 10;8.6 / 10;25;USD 4,712;60;44;680.0%;90 Days;Age 0 to Age 60
Male;30;Smoker;SunWell Advanced Care;Sun Life | Sun Life 永明;8.6 / 10;8.7 / 10;7.8 / 10;25;USD 4,038;71;117;500.0%;60 Days;Age 0 to Age 50
Male;30;Smoker;FamCare 198;CTF Life | 周大福人壽;8.7 / 10;9.4 / 10;7.6 / 10;25;USD 5,065;71;127;700.0%;60 Days;Age 0 to Age 50
Male;30;Smoker;On Your SIde Plan;AIA | 友邦香港;8.7 / 10;9.1 / 10;8.2 / 10;25;USD 4,161;58;44;900.0%;90 Days;Age 0 to Age 55
Male;30;Smoker;Manulife Bright Care PRO;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 4,123;60;63;500.0%;90 Days;Age 0 to Age 60
Male;30;Smoker;HealthCare 168 Plus;CTF Life | 周大福人壽;8.6 / 10;8.8 / 10;8.3 / 10;25;USD 4,735;69;83;500.0%;60 Days;Age 0 to Age 50
Male;30;Smoker;SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.6 / 10;9 / 10;8 / 10;25;USD 5,181;63;62;1100.0%;90 Days;Age 0 to Age 50
Male;30;Smoker;ManuLove Care;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 5,981;60;30;700.0%;90 Days;Age 0 to Age 60
Male;30;Smoker;PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 4,980;56;71;900.0%;90 Days;Age 0 to Age 49
Male;30;Smoker;SunHealth LovePromise;Sun Life | Sun Life 永明;8.5 / 10;8.9 / 10;7.9 / 10;25;USD 4,422;64;62;950.0%;90 Days;Age 0 to Age 50
Male;30;Smoker;Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.4 / 10;8.6 / 10;8.1 / 10;25;USD 4,126;65;56;500.0%;60 Days;Age 0 to Age 55
Male;30;Smoker;Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;8.4 / 10;8.8 / 10;7.9 / 10;25;USD 4,278;88;88;420.0%;90 Days;Age 0 to Age 50
Male;30;Smoker;ManuBright Care 2;Manulife | 宏利;8.2 / 10;8.8 / 10;7.2 / 10;25;USD 4,328;60;44;500.0%;90 Days;Age 0 to Age 60
Male;30;Smoker;SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.2 / 10;9 / 10;7 / 10;25;USD 4,272;63;62;900.0%;90 Days;Age 0 to Age 50
Male;30;Smoker;AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.0 / 10;8.4 / 10;7.4 / 10;25;USD 5,862;62;54;900.0%;60 Days;Age 0 to Age 50
Male;30;Smoker;Smart Elite Ultra;AIA | 友邦香港;7.8 / 10;8.3 / 10;7 / 10;25;USD 5,286;58;44;900.0%;90 Days;Age 0 to Age 55
Male;30;Smoker;AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.6 / 10;8.4 / 10;6.4 / 10;25;USD 5,699;62;54;500.0%;60 Days;Age 0 to Age 50
Male;30;Smoker;Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3 / 10;8.3 / 10;5.8 / 10;20;USD 5,330;62;45;500.0%;60 Days;Age 0 to Age 45
Male;30;Smoker;Multi Care Pro 2;AIA | 友邦香港;7.4 / 10;7.8 / 10;6.9 / 10;25;USD 4,194;53;3;500.0%;90 Days;Age 0 to Age 55
Male;30;Smoker;BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;7.3 / 10;7.9 / 10;6.4 / 10;20;USD 3,818;55;39;600.0%;90 Days;Age 0 to Age 55
Male;30;Smoker;Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;7.0 / 10;8.4 / 10;4.9 / 10;20;USD 4,341;55;39;420.0%;90 Days;Age 0 to Age 55
Male;35;Smoker;Crisis OneMaster;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 7,658;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;35;Smoker;Crisis OneMaster Pro;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 8,274;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;35;Smoker;TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.6 / 10;9.4 / 10;10 / 10;25;USD 9,079;93;101;900.0%;90 Days;Age 0 to Age 50
Male;35;Smoker;SunWell Supreme Care;Sun Life | Sun Life 永明;9.4 / 10;9.5 / 10;7.8 / 10;25;USD 5,778;71;117;700.0%;60 Days;Age 0 to Age 50
Male;35;Smoker;TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.5 / 10;9.2 / 10;10 / 10;25;USD 6,834;63;75;1300.0%;60 Days;Age 0 to Age 60
Male;35;Smoker;LionGuardian Beyond;Generali | 忠意保險;9.4 / 10;9.3 / 10;9.5 / 10;25;USD 5,555;69;69;Not specified;60 Days;Age 0 to Age 55
Male;35;Smoker;LionAlong;Generali | 忠意保險;9.3 / 10;9.4 / 10;9.3 / 10;25;USD 5,948;69;69;720.0%;60 Days;Age 0 to Age 55
Male;35;Smoker;Crisis USupporter Pro;FWD | 富衛;9.2 / 10;9.3 / 10;8.8 / 10;25;USD 5,805;62;65;1152.0%;90 Days;Age 0 to Age 50
Male;35;Smoker;Crisis USupporter;FWD | 富衛;9.1 / 10;9.2 / 10;8.8 / 10;25;USD 5,331;62;65;1121.0%;90 Days;Age 0 to Age 50
Male;35;Smoker;PrimeHealth Pro (Signature);YF Life | 萬通保險;9.3 / 10;9.2 / 10;9.6 / 10;25;USD 5,063;68;50;740.0%;60 Days;Age 0 to Age 55
Male;35;Smoker;ManuPrimo Care;Manulife | 宏利;9.1 / 10;8.8 / 10;9.6 / 10;25;USD 6,028;60;44;900.0%;90 Days;Age 0 to Age 60
Male;35;Smoker;TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.1 / 10;9.1 / 10;9 / 10;25;USD 5,421;63;75;1000.0%;60 Days;Age 0 to Age 60
Male;35;Smoker;Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.8 / 10;9.2 / 10;8.3 / 10;25;USD 5,579;89;76;500.0%;60 Days;Age 0 to Age 50
Male;35;Smoker;Health Critical Illness Extended Care III;Prudential | 保誠保險;9.0 / 10;8.8 / 10;9.2 / 10;25;USD 5,909;56;61;860.0%;90 Days;Age 0 to Age 49
Male;35;Smoker;TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.9 / 10;8.8 / 10;9.1 / 10;25;USD 6,793;93;101;800.0%;90 Days;Age 0 to Age 50
Male;35;Smoker;ManuBright Care 2 Plus;Manulife | 宏利;8.8 / 10;8.8 / 10;8.6 / 10;25;USD 5,582;60;44;680.0%;90 Days;Age 0 to Age 60
Male;35;Smoker;SunWell Advanced Care;Sun Life | Sun Life 永明;8.6 / 10;8.7 / 10;7.8 / 10;25;USD 4,803;71;117;500.0%;60 Days;Age 0 to Age 50
Male;35;Smoker;FamCare 198;CTF Life | 周大福人壽;8.7 / 10;9.4 / 10;7.6 / 10;25;USD 5,878;71;127;700.0%;60 Days;Age 0 to Age 50
Male;35;Smoker;On Your SIde Plan;AIA | 友邦香港;8.7 / 10;9.1 / 10;8.2 / 10;25;USD 5,166;58;44;900.0%;90 Days;Age 0 to Age 55
Male;35;Smoker;Manulife Bright Care PRO;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 4,933;60;63;500.0%;90 Days;Age 0 to Age 60
Male;35;Smoker;HealthCare 168 Plus;CTF Life | 周大福人壽;8.6 / 10;8.8 / 10;8.3 / 10;25;USD 5,599;69;83;500.0%;60 Days;Age 0 to Age 50
Male;35;Smoker;SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.6 / 10;9 / 10;8 / 10;25;USD 5,928;63;62;1100.0%;90 Days;Age 0 to Age 50
Male;35;Smoker;ManuLove Care;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 6,925;60;30;700.0%;90 Days;Age 0 to Age 60
Male;35;Smoker;PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 6,168;56;71;900.0%;90 Days;Age 0 to Age 49
Male;35;Smoker;SunHealth LovePromise;Sun Life | Sun Life 永明;8.5 / 10;8.9 / 10;7.9 / 10;25;USD 5,115;64;62;950.0%;90 Days;Age 0 to Age 50
Male;35;Smoker;Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.4 / 10;8.6 / 10;8.1 / 10;25;USD 4,956;65;56;500.0%;60 Days;Age 0 to Age 55
Male;35;Smoker;Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;8.4 / 10;8.8 / 10;7.9 / 10;25;USD 5,206;88;88;420.0%;90 Days;Age 0 to Age 50
Male;35;Smoker;ManuBright Care 2;Manulife | 宏利;8.2 / 10;8.8 / 10;7.2 / 10;25;USD 5,138;60;44;500.0%;90 Days;Age 0 to Age 60
Male;35;Smoker;SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.2 / 10;9 / 10;7 / 10;25;USD 5,064;63;62;900.0%;90 Days;Age 0 to Age 50
Male;35;Smoker;AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.0 / 10;8.4 / 10;7.4 / 10;25;USD 5,541;62;54;900.0%;60 Days;Age 0 to Age 50
Male;35;Smoker;Smart Elite Ultra;AIA | 友邦香港;7.8 / 10;8.3 / 10;7 / 10;25;USD 6,036;58;44;900.0%;90 Days;Age 0 to Age 55
Male;35;Smoker;AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.6 / 10;8.4 / 10;6.4 / 10;25;USD 5,381;62;54;500.0%;60 Days;Age 0 to Age 50
Male;35;Smoker;Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3 / 10;8.3 / 10;5.8 / 10;20;USD 6,167;62;45;500.0%;60 Days;Age 0 to Age 45
Male;35;Smoker;Multi Care Pro 2;AIA | 友邦香港;7.4 / 10;7.8 / 10;6.9 / 10;25;USD 4,883;53;3;500.0%;90 Days;Age 0 to Age 55
Male;35;Smoker;BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;7.3 / 10;7.9 / 10;6.4 / 10;20;USD 6,057;55;39;600.0%;90 Days;Age 0 to Age 55
Male;35;Smoker;Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;7.0 / 10;8.4 / 10;4.9 / 10;20;USD 5,105;55;39;420.0%;90 Days;Age 0 to Age 55
Male;40;Smoker;Crisis OneMaster;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 9,578;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;40;Smoker;Crisis OneMaster Pro;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 10,385;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;40;Smoker;TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.6 / 10;9.4 / 10;10 / 10;25;USD 11,128;93;101;900.0%;90 Days;Age 0 to Age 50
Male;40;Smoker;SunWell Supreme Care;Sun Life | Sun Life 永明;9.4 / 10;9.5 / 10;7.8 / 10;25;USD 7,200;71;117;700.0%;60 Days;Age 0 to Age 50
Male;40;Smoker;TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.5 / 10;9.2 / 10;10 / 10;25;USD 8,423;63;75;1300.0%;60 Days;Age 0 to Age 60
Male;40;Smoker;LionGuardian Beyond;Generali | 忠意保險;9.4 / 10;9.3 / 10;9.5 / 10;25;USD 7,001;69;69;Not specified;60 Days;Age 0 to Age 55
Male;40;Smoker;LionAlong;Generali | 忠意保險;9.3 / 10;9.4 / 10;9.3 / 10;25;USD 7,637;69;69;720.0%;60 Days;Age 0 to Age 55
Male;40;Smoker;Crisis USupporter Pro;FWD | 富衛;9.2 / 10;9.3 / 10;8.8 / 10;25;USD 7,236;62;65;1152.0%;90 Days;Age 0 to Age 55
Male;40;Smoker;Crisis USupporter;FWD | 富衛;9.1 / 10;9.2 / 10;8.8 / 10;25;USD 6,678;62;65;1121.0%;90 Days;Age 0 to Age 55
Male;40;Smoker;PrimeHealth Pro (Signature);YF Life | 萬通保險;9.3 / 10;9.2 / 10;9.6 / 10;25;USD 7,149;68;50;740.0%;60 Days;Age 0 to Age 55
Male;40;Smoker;ManuPrimo Care;Manulife | 宏利;9.1 / 10;8.8 / 10;9.6 / 10;25;USD 7,513;60;44;900.0%;90 Days;Age 0 to Age 60
Male;40;Smoker;TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.1 / 10;9.1 / 10;9 / 10;25;USD 6,759;63;75;1000.0%;60 Days;Age 0 to Age 60
Male;40;Smoker;Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.8 / 10;9.2 / 10;8.3 / 10;25;USD 6,495;89;76;500.0%;60 Days;Age 0 to Age 50
Male;40;Smoker;TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.9 / 10;8.8 / 10;9.1 / 10;25;USD 8,199;93;101;800.0%;90 Days;Age 0 to Age 50
Male;40;Smoker;ManuBright Care 2 Plus;Manulife | 宏利;8.8 / 10;8.8 / 10;8.6 / 10;25;USD 6,712;60;44;680.0%;90 Days;Age 0 to Age 60
Male;40;Smoker;SunWell Advanced Care;Sun Life | Sun Life 永明;8.6 / 10;8.7 / 10;7.8 / 10;25;USD 5,850;71;117;500.0%;60 Days;Age 0 to Age 50
Male;40;Smoker;FamCare 198;CTF Life | 周大福人壽;8.7 / 10;9.4 / 10;7.6 / 10;25;USD 7,291;71;127;700.0%;60 Days;Age 0 to Age 50
Male;40;Smoker;On Your SIde Plan;AIA | 友邦香港;8.7 / 10;9.1 / 10;8.2 / 10;25;USD 6,594;58;44;900.0%;90 Days;Age 0 to Age 55
Male;40;Smoker;Manulife Bright Care PRO;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 6,013;60;63;500.0%;90 Days;Age 0 to Age 60
Male;40;Smoker;HealthCare 168 Plus;CTF Life | 周大福人壽;8.6 / 10;8.8 / 10;8.3 / 10;25;USD 6,945;69;83;500.0%;60 Days;Age 0 to Age 50
Male;40;Smoker;SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.6 / 10;9 / 10;8 / 10;25;USD 7,325;63;62;1100.0%;90 Days;Age 0 to Age 50
Male;40;Smoker;ManuLove Care;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 8,065;60;30;700.0%;90 Days;Age 0 to Age 60
Male;40;Smoker;PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 7,715;56;71;900.0%;90 Days;Age 0 to Age 49
Male;40;Smoker;SunHealth LovePromise;Sun Life | Sun Life 永明;8.5 / 10;8.9 / 10;7.9 / 10;25;USD 6,185;64;62;950.0%;90 Days;Age 0 to Age 50
Male;40;Smoker;Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.4 / 10;8.6 / 10;8.1 / 10;25;USD 5,976;65;56;500.0%;60 Days;Age 0 to Age 55
Male;40;Smoker;Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;8.4 / 10;8.8 / 10;7.9 / 10;25;USD 6,535;88;88;420.0%;90 Days;Age 0 to Age 50
Male;40;Smoker;ManuBright Care 2;Manulife | 宏利;8.2 / 10;8.8 / 10;7.2 / 10;25;USD 6,197;60;44;500.0%;90 Days;Age 0 to Age 60
Male;40;Smoker;SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.2 / 10;9 / 10;7 / 10;25;USD 6,153;63;62;900.0%;90 Days;Age 0 to Age 50
Male;40;Smoker;AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.0 / 10;8.4 / 10;7.4 / 10;25;USD 8,192;62;54;900.0%;60 Days;Age 0 to Age 50
Male;40;Smoker;Smart Elite Ultra;AIA | 友邦香港;7.8 / 10;8.3 / 10;7 / 10;25;USD 7,491;58;44;900.0%;90 Days;Age 0 to Age 55
Male;40;Smoker;AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.6 / 10;8.4 / 10;6.4 / 10;25;USD 7,940;62;54;500.0%;60 Days;Age 0 to Age 50
Male;40;Smoker;Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3 / 10;8.3 / 10;5.8 / 10;20;USD 7,556;62;45;500.0%;60 Days;Age 0 to Age 45
Male;40;Smoker;Multi Care Pro 2;AIA | 友邦香港;7.4 / 10;7.8 / 10;6.9 / 10;25;USD 6,119;53;3;500.0%;90 Days;Age 0 to Age 55
Male;40;Smoker;BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;7.3 / 10;7.9 / 10;6.4 / 10;20;USD 5,403;55;39;600.0%;90 Days;Age 0 to Age 55
Male;40;Smoker;Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;7.0 / 10;8.4 / 10;4.9 / 10;20;USD 6,201;55;39;420.0%;90 Days;Age 0 to Age 55
Male;45;Smoker;Crisis OneMaster;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 11,780;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;45;Smoker;Crisis OneMaster Pro;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 12,816;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;45;Smoker;TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.6 / 10;9.4 / 10;10 / 10;25;USD 13,666;93;101;900.0%;90 Days;Age 0 to Age 50
Male;45;Smoker;SunWell Supreme Care;Sun Life | Sun Life 永明;9.4 / 10;9.5 / 10;7.8 / 10;25;USD 9,233;71;117;700.0%;60 Days;Age 0 to Age 50
Male;45;Smoker;TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.5 / 10;9.2 / 10;10 / 10;25;USD 10,530;63;75;1300.0%;60 Days;Age 0 to Age 60
Male;45;Smoker;LionGuardian Beyond;Generali | 忠意保險;9.4 / 10;9.3 / 10;9.5 / 10;25;USD 9,495;69;69;Not specified;60 Days;Age 0 to Age 55
Male;45;Smoker;LionAlong;Generali | 忠意保險;9.3 / 10;9.4 / 10;9.3 / 10;25;USD 10,685;69;69;720.0%;60 Days;Age 0 to Age 55
Male;45;Smoker;Crisis USupporter Pro;FWD | 富衛;9.2 / 10;9.3 / 10;8.8 / 10;25;USD 8,783;62;65;1152.0%;90 Days;Age 0 to Age 50
Male;45;Smoker;Crisis USupporter;FWD | 富衛;9.1 / 10;9.2 / 10;8.8 / 10;25;USD 8,144;62;65;1121.0%;90 Days;Age 0 to Age 50
Male;45;Smoker;PrimeHealth Pro (Signature);YF Life | 萬通保險;9.3 / 10;9.2 / 10;9.6 / 10;25;USD 9,692;68;50;740.0%;60 Days;Age 0 to Age 55
Male;45;Smoker;ManuPrimo Care;Manulife | 宏利;9.1 / 10;8.8 / 10;9.6 / 10;25;USD 9,562;60;44;900.0%;90 Days;Age 0 to Age 60
