InsuranceName;Company;Average;WholeLifeScore;TermsScore;Gender;Age;Smoker;PriceYear
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Male;30;Smoker;4,628
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;30;Smoker;6,534
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;30;Smoker;7,035
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;30;Smoker;4,455
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;30;Smoker;4,853
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Male;30;Smoker;5,757
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Male;30;Smoker;5,181
Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.9;9.0 / 10;7.5 / 10;Male;30;Smoker;4,664
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Male;30;Smoker;4,735
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Male;30;Smoker;7,708
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Male;30;Smoker;4,038
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Male;30;Smoker;4,901
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Male;30;Smoker;5,065
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Male;30;Smoker;4,272
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Male;30;Smoker;4,302
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Male;30;Smoker;4,126
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Male;30;Smoker;5,814
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Male;30;Smoker;4,422
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Male;30;Smoker;4,712
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Male;30;Smoker;4,503
PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.4;8.6 / 10;6.5 / 10;Male;30;Smoker;4,980
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Male;30;Smoker;4,123
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Male;30;Smoker;5,981
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Male;30;Smoker;4,328
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Male;30;Smoker;4,161
AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.1;8.2 / 10;7.0 / 10;Male;30;Smoker;5,862
Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;7.9;8.1 / 10;6.5 / 10;Male;30;Smoker;4,278
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Male;30;Smoker;5,286
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Male;30;Smoker;5,330
AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.0;7.3 / 10;4.8 / 10;Male;30;Smoker;5,699
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Male;30;Smoker;4,194
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Male;30;Smoker;4,341
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Male;30;Smoker;3,818
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Male;30;Smoker;3,273
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Male;30;Smoker;4,256
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Male;30;Smoker;3,111
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Male;30;Smoker;3,417
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Male;30;Smoker;2,597
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Male;30;Smoker;3,445
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Male;30;Smoker;2,595
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Male;30;Smoker;2,943
Protector Critical Illness Insurance Plan;China Life | 中國人壽;4.9;5.2 / 10;1.8 / 10;Male;30;Smoker;4,077
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Male;30;Smoker;3,818
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Male;30;Smoker;3,233
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Male;35;Smoker;5,778
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Male;35;Smoker;5,555
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Male;35;Smoker;5,948
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;35;Smoker;7,658
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;35;Smoker;8,274
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;35;Smoker;5,331
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;35;Smoker;5,805
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Male;35;Smoker;6,834
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Male;35;Smoker;5,928
Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.9;9.0 / 10;7.5 / 10;Male;35;Smoker;5,579
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Male;35;Smoker;5,599
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Male;35;Smoker;9,079
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Male;35;Smoker;4,803
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Male;35;Smoker;6,028
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Male;35;Smoker;5,878
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Male;35;Smoker;5,064
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Male;35;Smoker;5,063
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Male;35;Smoker;4,956
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Male;35;Smoker;6,793
Health Critical Illness Extended Care III;Prudential | 保誠保險;8.6;8.9 / 10;6.3 / 10;Male;35;Smoker;5,909
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Male;35;Smoker;5,115
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Male;35;Smoker;5,582
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Male;35;Smoker;5,421
PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.4;8.6 / 10;6.5 / 10;Male;35;Smoker;6,168
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Male;35;Smoker;4,933
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Male;35;Smoker;6,925
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Male;35;Smoker;5,138
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Male;35;Smoker;5,166
AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.1;8.2 / 10;7.0 / 10;Male;35;Smoker;5,541
Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;7.9;8.1 / 10;6.5 / 10;Male;35;Smoker;5,206
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Male;35;Smoker;6,036
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Male;35;Smoker;6,167
AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.0;7.3 / 10;4.8 / 10;Male;35;Smoker;5,381
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Male;35;Smoker;4,883
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Male;35;Smoker;5,105
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Male;35;Smoker;6,057
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Male;35;Smoker;3,855
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Male;35;Smoker;5,118
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Male;35;Smoker;3,605
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Male;35;Smoker;3,925
PRUHealth Critical Illness First Protect II;Prudential | 保誠保險;5.3;5.6 / 10;2.8 / 10;Male;35;Smoker;4,158
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Male;35;Smoker;3,194
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Male;35;Smoker;4,096
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Male;35;Smoker;3,205
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Male;35;Smoker;3,542
Protector Critical Illness Insurance Plan;China Life | 中國人壽;4.9;5.2 / 10;1.8 / 10;Male;35;Smoker;4,423
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Male;35;Smoker;4,508
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Male;35;Smoker;3,863
EasyWell Critical Illness Protector;Prudential | 保誠保險;4.6;4.9 / 10;1.8 / 10;Male;35;Smoker;3,053
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Male;40;Smoker;7,200
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Male;40;Smoker;7,001
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Male;40;Smoker;7,637
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;40;Smoker;9,578
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;40;Smoker;10,385
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;40;Smoker;6,678
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;40;Smoker;7,236
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Male;40;Smoker;8,423
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Male;40;Smoker;7,325
Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.9;9.0 / 10;7.5 / 10;Male;40;Smoker;6,495
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Male;40;Smoker;6,945
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Male;40;Smoker;11,128
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Male;40;Smoker;5,850
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Male;40;Smoker;7,513
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Male;40;Smoker;7,291
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Male;40;Smoker;6,153
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Male;40;Smoker;7,149
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Male;40;Smoker;5,976
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Male;40;Smoker;8,199
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Male;40;Smoker;6,185
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Male;40;Smoker;6,712
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Male;40;Smoker;6,759
PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.4;8.6 / 10;6.5 / 10;Male;40;Smoker;7,715
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Male;40;Smoker;6,013
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Male;40;Smoker;8,065
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Male;40;Smoker;6,197
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Male;40;Smoker;6,594
AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.1;8.2 / 10;7.0 / 10;Male;40;Smoker;8,192
Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;7.9;8.1 / 10;6.5 / 10;Male;40;Smoker;6,535
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Male;40;Smoker;7,491
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Male;40;Smoker;7,556
AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.0;7.3 / 10;4.8 / 10;Male;40;Smoker;7,940
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Male;40;Smoker;6,119
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Male;40;Smoker;6,201
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Male;40;Smoker;5,403
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Male;40;Smoker;4,761
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Male;40;Smoker;6,240
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Male;40;Smoker;4,737
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Male;40;Smoker;4,785
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Male;40;Smoker;4,049
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Male;40;Smoker;4,920
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Male;40;Smoker;4,032
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Male;40;Smoker;4,596
Protector Critical Illness Insurance Plan;China Life | 中國人壽;4.9;5.2 / 10;1.8 / 10;Male;40;Smoker;5,269
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Male;40;Smoker;5,403
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Male;40;Smoker;4,599
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Male;45;Smoker;9,233
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Male;45;Smoker;9,495
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Male;45;Smoker;10,685
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;45;Smoker;11,780
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;45;Smoker;12,816
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;45;Smoker;8,144
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;45;Smoker;8,783
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Male;45;Smoker;10,530
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Male;45;Smoker;8,982
Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.9;9.0 / 10;7.5 / 10;Male;45;Smoker;8,126
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Male;45;Smoker;8,821
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Male;45;Smoker;13,666
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Male;45;Smoker;7,544
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Male;45;Smoker;9,562
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Male;45;Smoker;9,217
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Male;45;Smoker;7,628
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Male;45;Smoker;9,692
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Male;45;Smoker;7,501
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Male;45;Smoker;9,978
Health Critical Illness Extended Care III;Prudential | 保誠保險;8.6;8.9 / 10;6.3 / 10;Male;45;Smoker;9,239
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Male;45;Smoker;7,628
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Male;45;Smoker;8,663
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Male;45;Smoker;8,585
PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.4;8.6 / 10;6.5 / 10;Male;45;Smoker;9,825
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Male;45;Smoker;7,840
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Male;45;Smoker;9,395
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Male;45;Smoker;7,999
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Male;45;Smoker;8,519
AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.1;8.2 / 10;7.0 / 10;Male;45;Smoker;7,669
Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;7.9;8.1 / 10;6.5 / 10;Male;45;Smoker;7,732
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Male;45;Smoker;9,548
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Male;45;Smoker;9,164
AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.0;7.3 / 10;4.8 / 10;Male;45;Smoker;7,462
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Male;45;Smoker;7,910
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Male;45;Smoker;7,499
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Male;45;Smoker;8,885
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Male;45;Smoker;5,724
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Male;45;Smoker;7,914
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Male;45;Smoker;5,818
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Male;45;Smoker;6,258
PRUHealth Critical Illness First Protect II;Prudential | 保誠保險;5.3;5.6 / 10;2.8 / 10;Male;45;Smoker;6,392
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Male;45;Smoker;4,990
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Male;45;Smoker;6,159
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Male;45;Smoker;4,923
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Male;45;Smoker;6,114
Protector Critical Illness Insurance Plan;China Life | 中國人壽;4.9;5.2 / 10;1.8 / 10;Male;45;Smoker;6,871
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Male;45;Smoker;6,614
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Male;45;Smoker;5,543
EasyWell Critical Illness Protector;Prudential | 保誠保險;4.6;4.9 / 10;1.8 / 10;Male;45;Smoker;5,567
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Female;0;Smoker;1,632
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Female;0;Smoker;1,514
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Female;0;Smoker;1,514
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;0;Smoker;2,466
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;0;Smoker;2,528
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;0;Smoker;1,811
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;0;Smoker;1,976
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Female;0;Smoker;2,118
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Female;0;Smoker;1,964
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Female;0;Smoker;1,587
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Female;0;Smoker;2,910
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Female;0;Smoker;1,448
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Female;0;Smoker;1,739
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Female;0;Smoker;1,671
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Female;0;Smoker;1,688
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Female;0;Smoker;1,793
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Female;0;Smoker;1,423
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Female;0;Smoker;2,088
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Female;0;Smoker;1,907
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Female;0;Smoker;1,843
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Female;0;Smoker;1,806
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Female;0;Smoker;1,451
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Female;0;Smoker;1,853
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Female;0;Smoker;1,705
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Female;0;Smoker;1,631
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Female;0;Smoker;2,060
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Female;0;Smoker;1,946
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Female;0;Smoker;1,376
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Female;0;Smoker;1,664
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Female;0;Smoker;1,785
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Female;0;Smoker;1,445
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Female;0;Smoker;1,812
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Female;0;Smoker;1,199
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Female;0;Smoker;1,667
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Female;0;Smoker;722
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Female;0;Smoker;1,459
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Female;0;Smoker;1,033
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Female;0;Smoker;962
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Female;0;Smoker;1,415
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Female;0;Smoker;1,169
